peppermint,dittany,lavender,ginger_root_width(mm),powdered_dragon_claw(mg),fluxweed(mg),drops_of_tree_wood_oil,fire_seed,rose_petal,daisy_root_width,daisy_root_height,water(ml),dragon_blood(ml),porcupine_quills,drops_of_red_wine,gillyweed(mg),honey(mg),morning_dew,ginger_root_height(mm),leech_juice(ml)
1.0,1.0,0.0,1057.0,4.0,8.0,3399.0,0.0,1.0,17.0,21.0,731.0,2.6,19.0,2.0,16.0,4.0,0.0,565.0,137.0
1.0,1.0,0.0,831.0,5.0,9.0,3801.0,1.0,0.0,9.0,19.0,1416.0,2.8,9.0,4.0,56.0,4.0,0.0,264.0,101.0
1.0,1.0,0.0,1667.0,11.0,3.0,703.0,1.0,1.0,17.0,19.0,506.0,2.1,17.0,7.0,18.0,2.5,0.0,769.0,168.0
1.0,1.0,0.0,1679.0,17.0,6.0,2789.0,0.0,0.0,10.0,12.0,732.0,2.7,9.0,11.0,11.0,3.5,0.0,1373.0,124.0
1.0,0.0,1.0,1188.0,16.0,10.0,1052.0,1.0,0.0,6.0,8.0,765.0,2.5,10.0,10.0,4.0,3.7,1.0,1030.0,94.0
1.0,0.0,0.0,521.0,19.0,3.0,511.0,0.0,0.0,14.0,17.0,1099.0,2.8,14.0,2.0,62.0,3.4,0.0,407.0,183.0
1.0,0.0,1.0,820.0,15.0,3.0,2029.0,1.0,1.0,7.0,13.0,806.0,2.9,13.0,14.0,43.0,2.8,0.0,711.0,91.0
1.0,0.0,1.0,1672.0,6.0,3.0,2148.0,0.0,1.0,12.0,13.0,1050.0,3.0,4.0,4.0,31.0,3.5,0.0,31.0,184.0
1.0,1.0,1.0,1761.0,11.0,4.0,1079.0,1.0,1.0,3.0,8.0,628.0,2.8,6.0,5.0,13.0,4.8,0.0,739.0,111.0
1.0,0.0,1.0,812.0,19.0,5.0,3754.0,1.0,0.0,4.0,12.0,597.0,2.1,20.0,9.0,25.0,2.9,1.0,443.0,123.0
1.0,1.0,0.0,616.0,8.0,6.0,862.0,1.0,0.0,3.0,16.0,1207.0,2.6,16.0,5.0,14.0,2.5,0.0,575.0,177.0
1.0,1.0,1.0,1860.0,6.0,10.0,364.0,0.0,1.0,12.0,18.0,591.0,2.7,8.0,3.0,61.0,2.5,1.0,761.0,148.0
0.0,1.0,0.0,1287.0,11.0,9.0,3413.0,0.0,1.0,13.0,14.0,904.0,2.3,17.0,5.0,5.0,2.7,0.0,677.0,136.0
1.0,0.0,0.0,1467.0,9.0,5.0,3395.0,0.0,0.0,9.0,14.0,602.0,2.8,10.0,3.0,50.0,2.5,0.0,503.0,193.0
1.0,0.0,1.0,1661.0,3.0,4.0,318.0,1.0,0.0,12.0,21.0,745.0,2.3,6.0,2.0,35.0,2.5,0.0,1589.0,97.0
1.0,0.0,1.0,1894.0,3.0,4.0,3302.0,1.0,1.0,12.0,14.0,555.0,2.7,22.0,2.0,20.0,4.2,0.0,1289.0,138.0
1.0,1.0,0.0,1985.0,13.0,6.0,1114.0,0.0,0.0,4.0,10.0,1755.0,2.6,17.0,6.0,42.0,2.7,1.0,1654.0,193.0
0.0,0.0,0.0,937.0,3.0,6.0,2803.0,1.0,0.0,17.0,20.0,805.0,2.3,14.0,2.0,20.0,2.8,1.0,629.0,108.0
1.0,1.0,0.0,1395.0,8.0,4.0,3482.0,1.0,0.0,18.0,19.0,1447.0,2.4,19.0,4.0,39.0,4.2,1.0,529.0,84.0
1.0,1.0,1.0,1875.0,17.0,10.0,2221.0,0.0,1.0,5.0,11.0,1305.0,2.4,17.0,8.0,12.0,4.1,1.0,1337.0,111.0
1.0,1.0,0.0,1891.0,5.0,6.0,611.0,1.0,0.0,5.0,13.0,997.0,2.1,7.0,3.0,12.0,3.3,0.0,260.0,106.0
0.0,0.0,0.0,900.0,3.0,3.0,2282.0,1.0,1.0,16.0,19.0,1830.0,2.9,6.0,2.0,19.0,4.1,0.0,338.0,201.0
0.0,1.0,0.0,1766.0,11.0,9.0,2695.0,0.0,1.0,5.0,10.0,1829.0,2.9,9.0,6.0,63.0,2.8,1.0,255.0,132.0
1.0,1.0,1.0,579.0,14.0,6.0,628.0,1.0,0.0,6.0,12.0,1316.0,2.1,6.0,10.0,43.0,4.9,1.0,115.0,157.0
1.0,1.0,1.0,1089.0,14.0,7.0,2475.0,1.0,1.0,6.0,12.0,937.0,2.1,11.0,5.0,60.0,2.5,0.0,641.0,157.0
0.0,1.0,0.0,1231.0,5.0,4.0,1082.0,1.0,0.0,2.0,12.0,923.0,2.1,8.0,3.0,62.0,2.6,0.0,1213.0,85.0
0.0,1.0,0.0,752.0,18.0,10.0,1157.0,1.0,1.0,3.0,9.0,1280.0,2.1,22.0,3.0,56.0,2.5,0.0,583.0,106.0
0.0,0.0,0.0,869.0,9.0,10.0,2248.0,0.0,1.0,13.0,16.0,1440.0,2.6,17.0,5.0,18.0,3.8,0.0,861.0,171.0
1.0,1.0,0.0,1838.0,9.0,5.0,3656.0,1.0,0.0,11.0,15.0,1003.0,2.2,12.0,3.0,42.0,4.8,1.0,924.0,119.0
0.0,1.0,0.0,568.0,9.0,8.0,1208.0,1.0,1.0,3.0,9.0,979.0,2.6,10.0,4.0,59.0,3.1,1.0,65.0,183.0
1.0,0.0,1.0,1898.0,22.0,3.0,1269.0,1.0,1.0,6.0,19.0,1674.0,2.7,22.0,15.0,34.0,2.5,1.0,1283.0,176.0
1.0,0.0,1.0,940.0,8.0,4.0,2051.0,0.0,1.0,10.0,14.0,938.0,2.2,7.0,7.0,59.0,4.3,1.0,659.0,131.0
1.0,0.0,1.0,1042.0,13.0,8.0,2671.0,1.0,1.0,12.0,14.0,1454.0,2.9,15.0,3.0,27.0,2.5,0.0,44.0,125.0
0.0,1.0,0.0,1111.0,6.0,8.0,1216.0,0.0,0.0,10.0,11.0,1292.0,2.1,17.0,2.0,5.0,2.5,1.0,602.0,145.0
1.0,0.0,1.0,1030.0,21.0,3.0,2203.0,0.0,0.0,18.0,19.0,1210.0,3.0,14.0,7.0,18.0,4.9,0.0,693.0,177.0
1.0,0.0,1.0,893.0,18.0,7.0,882.0,0.0,0.0,6.0,21.0,1357.0,2.2,10.0,12.0,25.0,4.3,1.0,653.0,134.0
1.0,0.0,1.0,1567.0,15.0,7.0,475.0,1.0,1.0,3.0,13.0,1396.0,2.3,22.0,12.0,64.0,2.9,1.0,1012.0,177.0
1.0,0.0,0.0,875.0,14.0,8.0,3107.0,0.0,0.0,3.0,9.0,1749.0,2.7,12.0,6.0,15.0,2.5,0.0,802.0,187.0
1.0,1.0,1.0,1899.0,16.0,10.0,592.0,0.0,0.0,4.0,15.0,1427.0,2.7,8.0,11.0,37.0,3.2,1.0,152.0,129.0
1.0,0.0,1.0,1785.0,10.0,8.0,3705.0,0.0,0.0,12.0,15.0,1372.0,2.2,13.0,7.0,8.0,3.4,1.0,1394.0,160.0
1.0,0.0,0.0,1266.0,6.0,6.0,2481.0,0.0,0.0,4.0,11.0,1925.0,3.0,17.0,5.0,26.0,3.3,1.0,876.0,88.0
1.0,1.0,1.0,1073.0,19.0,10.0,2319.0,1.0,0.0,6.0,18.0,1443.0,2.1,9.0,13.0,5.0,4.1,0.0,579.0,120.0
1.0,0.0,1.0,1164.0,13.0,3.0,3443.0,1.0,0.0,3.0,21.0,602.0,2.1,7.0,10.0,24.0,4.5,0.0,209.0,147.0
0.0,0.0,0.0,726.0,13.0,3.0,3254.0,1.0,1.0,2.0,18.0,1146.0,2.4,10.0,2.0,23.0,3.5,0.0,161.0,191.0
1.0,1.0,0.0,1893.0,3.0,6.0,3764.0,1.0,0.0,11.0,17.0,810.0,2.1,14.0,2.0,10.0,2.5,0.0,620.0,194.0
1.0,0.0,1.0,1502.0,13.0,5.0,2440.0,1.0,1.0,4.0,16.0,682.0,2.1,19.0,11.0,11.0,4.1,0.0,1430.0,133.0
0.0,0.0,0.0,1585.0,14.0,8.0,2336.0,0.0,0.0,9.0,10.0,1832.0,2.9,16.0,2.0,9.0,2.5,1.0,462.0,193.0
0.0,1.0,0.0,674.0,10.0,10.0,2306.0,1.0,1.0,3.0,9.0,1843.0,2.6,20.0,8.0,16.0,3.3,0.0,595.0,169.0
1.0,0.0,1.0,1078.0,6.0,9.0,3360.0,0.0,1.0,5.0,9.0,1500.0,2.1,21.0,5.0,10.0,2.7,0.0,349.0,172.0
1.0,0.0,1.0,1169.0,3.0,6.0,579.0,1.0,1.0,14.0,16.0,1500.0,2.1,14.0,2.0,16.0,3.2,1.0,113.0,193.0
1.0,0.0,0.0,1251.0,19.0,10.0,1328.0,1.0,0.0,6.0,12.0,727.0,2.4,17.0,18.0,62.0,3.3,0.0,1136.0,162.0
1.0,1.0,0.0,582.0,12.0,9.0,2964.0,0.0,0.0,11.0,14.0,647.0,3.0,6.0,3.0,43.0,2.5,1.0,329.0,199.0
1.0,0.0,1.0,1332.0,6.0,9.0,1001.0,0.0,1.0,14.0,18.0,1063.0,2.1,11.0,5.0,54.0,4.1,1.0,140.0,111.0
0.0,1.0,0.0,1205.0,7.0,3.0,1371.0,0.0,0.0,8.0,11.0,1920.0,2.3,8.0,3.0,24.0,4.8,1.0,383.0,141.0
0.0,0.0,0.0,1796.0,4.0,10.0,1801.0,1.0,1.0,11.0,18.0,585.0,2.9,9.0,3.0,53.0,2.9,1.0,1660.0,90.0
1.0,1.0,0.0,640.0,7.0,3.0,3711.0,0.0,0.0,2.0,13.0,1040.0,2.7,14.0,5.0,45.0,3.2,1.0,6.0,143.0
0.0,1.0,0.0,1286.0,2.0,4.0,311.0,0.0,1.0,6.0,10.0,1912.0,2.6,12.0,2.0,36.0,3.7,0.0,987.0,117.0
0.0,0.0,0.0,1108.0,7.0,3.0,690.0,1.0,1.0,9.0,12.0,719.0,2.6,17.0,6.0,12.0,2.5,1.0,219.0,200.0
1.0,1.0,1.0,1566.0,9.0,8.0,2139.0,1.0,1.0,10.0,13.0,1047.0,2.1,14.0,5.0,42.0,3.2,0.0,1080.0,177.0
0.0,1.0,0.0,1258.0,18.0,6.0,3490.0,0.0,0.0,4.0,18.0,1617.0,2.1,5.0,16.0,17.0,2.5,0.0,624.0,134.0
1.0,1.0,1.0,1673.0,12.0,9.0,2766.0,0.0,0.0,5.0,11.0,1788.0,2.7,9.0,11.0,60.0,2.5,1.0,233.0,163.0
0.0,0.0,0.0,994.0,14.0,6.0,1472.0,0.0,1.0,2.0,15.0,918.0,2.3,16.0,2.0,38.0,4.6,1.0,190.0,197.0
1.0,1.0,1.0,1363.0,19.0,5.0,1215.0,0.0,1.0,2.0,7.0,1725.0,2.6,18.0,3.0,9.0,3.0,1.0,386.0,128.0
1.0,1.0,1.0,514.0,20.0,8.0,963.0,1.0,0.0,9.0,12.0,1004.0,2.4,21.0,18.0,13.0,4.7,0.0,287.0,187.0
1.0,0.0,1.0,1806.0,4.0,7.0,692.0,0.0,1.0,4.0,7.0,667.0,2.1,17.0,2.0,33.0,2.7,0.0,498.0,187.0
1.0,1.0,1.0,532.0,2.0,4.0,325.0,1.0,0.0,5.0,19.0,828.0,2.5,9.0,2.0,59.0,2.5,0.0,356.0,137.0
1.0,1.0,1.0,820.0,3.0,4.0,2942.0,1.0,1.0,2.0,15.0,1165.0,2.9,17.0,2.0,21.0,4.1,0.0,730.0,134.0
0.0,1.0,0.0,1193.0,7.0,10.0,2339.0,0.0,0.0,3.0,8.0,1084.0,2.1,19.0,2.0,40.0,2.8,1.0,988.0,200.0
1.0,1.0,1.0,1678.0,8.0,10.0,1635.0,0.0,0.0,12.0,17.0,1717.0,2.3,7.0,2.0,14.0,3.3,1.0,1226.0,96.0
1.0,0.0,0.0,1060.0,13.0,4.0,440.0,0.0,1.0,2.0,19.0,956.0,2.3,4.0,2.0,52.0,2.5,0.0,230.0,136.0
1.0,1.0,0.0,1761.0,12.0,3.0,1491.0,1.0,0.0,11.0,12.0,1925.0,2.5,5.0,9.0,48.0,2.5,1.0,769.0,193.0
1.0,1.0,0.0,1333.0,16.0,7.0,3075.0,1.0,1.0,3.0,21.0,961.0,2.4,10.0,2.0,38.0,3.3,1.0,1315.0,198.0
1.0,0.0,1.0,1608.0,10.0,3.0,709.0,0.0,1.0,10.0,21.0,1525.0,2.1,21.0,8.0,13.0,3.8,1.0,150.0,131.0
1.0,0.0,0.0,1856.0,16.0,9.0,2821.0,1.0,0.0,17.0,19.0,774.0,2.8,5.0,14.0,41.0,3.1,1.0,1316.0,83.0
1.0,0.0,1.0,766.0,22.0,10.0,317.0,1.0,0.0,9.0,18.0,1971.0,2.2,9.0,7.0,9.0,2.8,1.0,334.0,87.0
1.0,0.0,1.0,551.0,9.0,9.0,2300.0,0.0,1.0,7.0,19.0,1696.0,2.3,4.0,2.0,36.0,2.6,1.0,379.0,104.0
0.0,1.0,0.0,1999.0,21.0,7.0,2993.0,1.0,0.0,9.0,10.0,650.0,3.0,6.0,6.0,10.0,3.9,0.0,821.0,93.0
0.0,1.0,0.0,1011.0,14.0,6.0,3496.0,0.0,0.0,5.0,15.0,867.0,2.1,16.0,7.0,18.0,4.9,0.0,337.0,91.0
1.0,0.0,1.0,1632.0,11.0,3.0,3557.0,0.0,1.0,4.0,7.0,1523.0,2.3,21.0,7.0,64.0,3.6,0.0,680.0,145.0
1.0,0.0,0.0,883.0,5.0,10.0,1264.0,0.0,1.0,3.0,14.0,646.0,2.7,17.0,2.0,24.0,4.7,0.0,313.0,159.0
1.0,1.0,1.0,1234.0,4.0,7.0,3811.0,0.0,1.0,18.0,19.0,1065.0,2.8,7.0,2.0,28.0,3.1,0.0,1210.0,103.0
1.0,0.0,1.0,920.0,8.0,6.0,2092.0,1.0,1.0,3.0,7.0,1356.0,2.5,15.0,5.0,28.0,2.7,1.0,299.0,138.0
1.0,0.0,1.0,1701.0,2.0,10.0,3662.0,0.0,0.0,7.0,9.0,1565.0,2.2,7.0,2.0,26.0,4.4,1.0,144.0,172.0
0.0,1.0,0.0,1125.0,16.0,3.0,930.0,1.0,0.0,12.0,14.0,715.0,2.1,11.0,2.0,44.0,2.9,0.0,1050.0,96.0
1.0,0.0,1.0,1214.0,16.0,4.0,1413.0,0.0,1.0,4.0,10.0,1823.0,2.6,17.0,15.0,46.0,3.2,1.0,1210.0,143.0
1.0,0.0,0.0,1365.0,13.0,4.0,3579.0,0.0,1.0,9.0,19.0,1798.0,2.9,6.0,6.0,46.0,4.3,1.0,1026.0,186.0
1.0,0.0,0.0,942.0,18.0,5.0,2375.0,0.0,0.0,11.0,13.0,1591.0,2.4,22.0,11.0,48.0,4.6,1.0,620.0,86.0
1.0,1.0,1.0,586.0,16.0,6.0,3617.0,0.0,0.0,10.0,20.0,647.0,3.0,15.0,12.0,65.0,4.5,0.0,280.0,176.0
1.0,1.0,1.0,729.0,13.0,3.0,3144.0,1.0,1.0,2.0,15.0,1808.0,2.1,8.0,4.0,56.0,4.0,0.0,349.0,119.0
1.0,1.0,0.0,1769.0,14.0,9.0,349.0,1.0,1.0,2.0,19.0,1404.0,2.3,14.0,5.0,48.0,2.6,0.0,1083.0,89.0
1.0,1.0,0.0,872.0,22.0,8.0,1225.0,0.0,0.0,2.0,10.0,687.0,2.3,20.0,9.0,19.0,4.7,0.0,727.0,176.0
1.0,0.0,1.0,821.0,19.0,9.0,2478.0,1.0,1.0,3.0,19.0,629.0,2.2,12.0,5.0,14.0,3.6,0.0,449.0,133.0
1.0,0.0,0.0,1249.0,7.0,3.0,562.0,0.0,1.0,3.0,11.0,1097.0,2.5,12.0,6.0,47.0,2.5,1.0,181.0,199.0
0.0,0.0,0.0,1302.0,6.0,7.0,2045.0,0.0,0.0,7.0,9.0,1078.0,2.2,16.0,5.0,16.0,4.5,0.0,547.0,107.0
1.0,0.0,1.0,1983.0,8.0,10.0,631.0,1.0,0.0,17.0,18.0,719.0,2.1,22.0,4.0,16.0,3.1,0.0,1880.0,101.0
1.0,0.0,1.0,1369.0,14.0,7.0,511.0,1.0,0.0,5.0,14.0,1556.0,2.7,21.0,5.0,49.0,4.7,0.0,321.0,187.0
1.0,0.0,1.0,1696.0,18.0,7.0,1279.0,0.0,0.0,11.0,16.0,1428.0,2.7,7.0,6.0,14.0,3.6,0.0,1575.0,176.0
1.0,0.0,1.0,1388.0,6.0,4.0,3222.0,1.0,1.0,4.0,19.0,1578.0,2.4,8.0,2.0,16.0,2.9,1.0,1215.0,175.0
1.0,0.0,1.0,859.0,22.0,10.0,1302.0,0.0,0.0,9.0,10.0,1546.0,2.1,20.0,14.0,47.0,4.3,1.0,238.0,115.0
1.0,0.0,0.0,644.0,10.0,7.0,993.0,1.0,0.0,10.0,16.0,1444.0,2.4,9.0,3.0,29.0,2.6,0.0,268.0,129.0
1.0,0.0,1.0,538.0,13.0,5.0,280.0,0.0,0.0,2.0,21.0,1680.0,2.9,12.0,5.0,66.0,4.1,1.0,438.0,136.0
1.0,1.0,1.0,819.0,6.0,6.0,1347.0,0.0,0.0,2.0,18.0,1064.0,2.9,13.0,5.0,41.0,2.5,0.0,573.0,126.0
1.0,1.0,0.0,1146.0,21.0,7.0,595.0,1.0,0.0,6.0,11.0,1450.0,2.2,20.0,20.0,4.0,2.5,1.0,848.0,102.0
0.0,1.0,0.0,756.0,2.0,4.0,2770.0,1.0,0.0,4.0,21.0,1165.0,2.6,14.0,2.0,51.0,4.8,0.0,522.0,157.0
0.0,1.0,0.0,1020.0,22.0,5.0,1302.0,0.0,0.0,2.0,12.0,1456.0,2.4,4.0,10.0,8.0,4.6,0.0,700.0,201.0
1.0,1.0,1.0,751.0,20.0,9.0,2263.0,0.0,0.0,8.0,9.0,1013.0,2.2,18.0,6.0,38.0,3.1,1.0,483.0,133.0
1.0,1.0,1.0,1236.0,9.0,5.0,3970.0,1.0,0.0,14.0,18.0,1750.0,2.5,5.0,8.0,16.0,3.7,0.0,861.0,148.0
0.0,1.0,0.0,1763.0,20.0,10.0,3746.0,0.0,1.0,3.0,13.0,1002.0,2.7,9.0,14.0,65.0,2.5,0.0,1539.0,181.0
0.0,1.0,0.0,637.0,14.0,4.0,949.0,1.0,0.0,6.0,13.0,1526.0,2.5,18.0,7.0,59.0,4.6,1.0,631.0,126.0
0.0,1.0,0.0,1954.0,11.0,10.0,1157.0,0.0,0.0,16.0,21.0,1753.0,2.6,14.0,3.0,6.0,4.5,1.0,1501.0,148.0
1.0,0.0,0.0,671.0,10.0,8.0,2237.0,1.0,1.0,6.0,21.0,1274.0,2.9,6.0,2.0,24.0,4.5,0.0,607.0,135.0
0.0,1.0,0.0,972.0,12.0,9.0,1509.0,1.0,0.0,2.0,7.0,594.0,2.9,6.0,3.0,54.0,2.8,0.0,334.0,105.0
0.0,0.0,0.0,577.0,18.0,9.0,3280.0,0.0,1.0,5.0,8.0,1317.0,2.8,15.0,9.0,66.0,4.6,0.0,61.0,130.0
1.0,1.0,1.0,1915.0,10.0,9.0,2565.0,0.0,1.0,16.0,20.0,1794.0,2.3,17.0,5.0,64.0,3.0,0.0,1628.0,172.0
1.0,1.0,1.0,544.0,4.0,10.0,3250.0,1.0,1.0,8.0,10.0,1085.0,3.0,8.0,3.0,41.0,4.9,0.0,525.0,175.0
0.0,0.0,0.0,1790.0,3.0,3.0,894.0,1.0,0.0,15.0,17.0,1273.0,2.9,22.0,2.0,4.0,3.5,1.0,1262.0,163.0
0.0,1.0,0.0,775.0,4.0,3.0,1335.0,0.0,1.0,8.0,17.0,1848.0,2.7,13.0,3.0,21.0,2.6,1.0,85.0,161.0
0.0,0.0,0.0,1475.0,11.0,5.0,840.0,1.0,0.0,4.0,16.0,1935.0,2.5,20.0,3.0,18.0,4.8,1.0,231.0,156.0
0.0,1.0,0.0,1885.0,20.0,7.0,1185.0,0.0,0.0,5.0,16.0,1265.0,2.3,19.0,14.0,66.0,2.5,0.0,180.0,177.0
1.0,1.0,1.0,1996.0,8.0,7.0,2975.0,1.0,1.0,10.0,19.0,1415.0,2.4,17.0,6.0,47.0,2.5,0.0,1951.0,106.0
1.0,1.0,0.0,1761.0,3.0,5.0,1665.0,1.0,0.0,5.0,11.0,1491.0,2.4,16.0,2.0,11.0,4.1,0.0,925.0,171.0
0.0,0.0,0.0,591.0,12.0,9.0,3927.0,0.0,1.0,8.0,9.0,974.0,2.7,9.0,10.0,46.0,3.3,1.0,299.0,84.0
0.0,1.0,0.0,1395.0,10.0,10.0,765.0,1.0,0.0,3.0,19.0,1422.0,2.1,19.0,3.0,52.0,4.8,1.0,196.0,102.0
0.0,0.0,0.0,1379.0,14.0,5.0,1513.0,0.0,1.0,10.0,19.0,1993.0,2.7,11.0,13.0,11.0,3.8,0.0,753.0,96.0
1.0,0.0,1.0,917.0,10.0,8.0,893.0,0.0,1.0,5.0,20.0,1078.0,2.7,11.0,5.0,40.0,4.6,1.0,131.0,121.0
1.0,1.0,1.0,1931.0,9.0,5.0,2046.0,0.0,0.0,7.0,17.0,661.0,2.5,4.0,8.0,8.0,4.7,0.0,1056.0,112.0
1.0,1.0,1.0,1526.0,8.0,8.0,1907.0,0.0,1.0,5.0,18.0,611.0,2.1,20.0,6.0,12.0,2.5,1.0,115.0,83.0
0.0,0.0,0.0,1773.0,22.0,5.0,3722.0,1.0,1.0,9.0,17.0,948.0,2.1,6.0,19.0,7.0,4.6,1.0,1700.0,168.0
1.0,0.0,0.0,561.0,6.0,4.0,3617.0,0.0,1.0,4.0,7.0,1337.0,2.8,11.0,5.0,62.0,5.0,0.0,85.0,182.0
0.0,0.0,0.0,1208.0,10.0,6.0,2117.0,0.0,0.0,9.0,10.0,1161.0,2.4,20.0,5.0,38.0,3.5,0.0,719.0,106.0
